id,date,time,home_team,away_team,1,X,2
bBfKGGeg,06.01.,20:00,Twente,FC Emmen,1.49,4.28,5.98
x2gOFzBa,07.01.,16:30,Waalwijk,Heerenveen,2.43,3.49,2.68
6ybSEfQ5,07.01.,18:45,Alkmaar,Vitesse,1.53,4.27,5.42
pSdWDEuC,07.01.,20:00,Sittard,G.A. Eagles,2.49,3.37,2.66
SjnyDYfI,07.01.,21:00,PSV,Sparta Rotterdam,1.22,6.28,11.2
tfjuChAO,08.01.,12:15,Utrecht,Feyenoord,3.77,3.8,1.83
d6QlWeet,08.01.,14:30,Cambuur,FC Volendam,2.03,3.48,3.41
fcvNzxmP,08.01.,14:30,Nijmegen,Ajax,7.42,5.27,1.34
xIsnVFAn,08.01.,16:45,Excelsior,Groningen,2.63,3.45,2.51
